INDEX,ADC_DATA
0,0.80957
1,0.735352
2,-0.131836
3,0.078125
4,0.291992
5,0.473633
6,0.62793
7,0.745117
8,0.81543
9,0.833984
10,0.798828
11,0.713867
12,0.581055
13,0.414062
14,0.220703
15,0.0146484
16,-0.196289
17,-0.392578
18,-0.558594
19,-0.693359
20,-0.787109
21,-0.833008
22,-0.828125
23,-0.769531
24,-0.663086
25,-0.515625
26,-0.336914
27,-0.133789
28,0.0742188
29,0.291016
30,0.476562
31,0.630859
32,0.745117
33,0.811523
34,0.829102
35,0.797852
36,0.714844
37,0.583984
38,0.416992
39,0.222656
40,0.0166016
41,-0.19043
42,-0.389648
43,-0.558594
44,-0.694336
45,-0.787109
46,-0.832031
47,-0.825195
48,-0.769531
49,-0.665039
50,-0.518555
51,-0.335938
52,-0.134766
53,0.0732422
54,0.286133
55,0.470703
56,0.62793
57,0.744141
58,0.813477
59,0.831055
60,0.797852
61,0.714844
62,0.584961
63,0.417969
64,0.224609
65,0.0195312
66,-0.191406
67,-0.390625
68,-0.55957
69,-0.694336
70,-0.788086
71,-0.833008
72,-0.828125
73,-0.768555
74,-0.662109
75,-0.514648
76,-0.334961
77,-0.135742
78,0.0742188
79,0.291016
80,0.477539
81,0.629883
82,0.743164
83,0.8125
84,0.832031
85,0.798828
86,0.713867
87,0.583984
88,0.416016
89,0.22168
90,0.015625
91,-0.193359
92,-0.391602
93,-0.55957
94,-0.693359
95,-0.785156
96,-0.830078
97,-0.826172
98,-0.770508
99,-0.665039
100,-0.517578
101,-0.334961
102,-0.135742
103,0.0742188
104,0.288086
105,0.472656
106,0.62793
107,0.743164
108,0.8125
109,0.832031
110,0.798828
111,0.714844
112,0.584961
113,0.416992
114,0.225586
115,0.0185547
116,-0.192383
117,-0.391602
118,-0.560547
119,-0.693359
120,-0.786133
121,-0.832031
122,-0.828125
123,-0.769531
124,-0.662109
125,-0.514648
126,-0.335938
127,-0.135742
128,0.0732422
129,0.288086
130,0.474609
131,0.630859
132,0.744141
133,0.811523
134,0.829102
135,0.797852
136,0.714844
137,0.584961
138,0.416992
139,0.222656
140,0.015625
141,-0.191406
142,-0.389648
143,-0.558594
144,-0.695312
145,-0.788086
146,-0.832031
147,-0.825195
148,-0.769531
149,-0.665039
150,-0.518555
151,-0.334961
152,-0.132812
153,0.0751953
154,0.287109
155,0.472656
156,0.62793
157,0.744141
158,0.813477
159,0.831055
160,0.796875
161,0.713867
162,0.584961
163,0.416992
164,0.22168
165,0.0166016
166,-0.193359
167,-0.392578
168,-0.55957
169,-0.693359
170,-0.787109
171,-0.833008
172,-0.828125
173,-0.769531
174,-0.662109
175,-0.513672
176,-0.333984
177,-0.134766
178,0.0732422
179,0.290039
180,0.476562
181,0.630859
182,0.746094
183,0.8125
184,0.830078
185,0.797852
186,0.714844
187,0.584961
188,0.416016
189,0.220703
190,0.015625
191,-0.193359
192,-0.391602
193,-0.560547
194,-0.696289
195,-0.789062
196,-0.832031
197,-0.826172
198,-0.770508
199,-0.664062
200,-0.516602
201,-0.335938
202,-0.134766
203,0.0742188
204,0.290039
205,0.472656
206,0.626953
207,0.744141
208,0.814453
209,0.831055
210,0.798828
211,0.714844
212,0.585938
213,0.418945
214,0.223633
215,0.0166016
216,-0.196289
217,-0.392578
218,-0.558594
219,-0.692383
220,-0.786133
221,-0.833008
222,-0.828125
223,-0.768555
224,-0.663086
225,-0.515625
226,-0.336914
227,-0.135742
228,0.0742188
229,0.290039
230,0.475586
231,0.629883
232,0.743164
233,0.8125
234,0.831055
235,0.799805
236,0.71582
237,0.585938
238,0.417969
239,0.223633
240,0.0166016
241,-0.191406
242,-0.388672
243,-0.557617
244,-0.693359
245,-0.788086
246,-0.832031
247,-0.825195
248,-0.769531
249,-0.664062
250,-0.518555
251,-0.334961
252,-0.132812
253,0.0761719
254,0.290039
255,0.473633
256,0.62793
257,0.745117
258,0.814453
259,0.832031
260,0.797852
261,0.714844
262,0.584961
263,0.416992
264,0.220703
265,0.015625
266,-0.194336
267,-0.392578
268,-0.55957
269,-0.693359
270,-0.788086
271,-0.833984
272,-0.828125
273,-0.769531
274,-0.664062
275,-0.515625
276,-0.335938
277,-0.134766
278,0.0742188
279,0.290039
280,0.476562
281,0.629883
282,0.744141
283,0.8125
284,0.831055
285,0.798828
286,0.713867
287,0.583984
288,0.415039
289,0.22168
290,0.0166016
291,-0.192383
292,-0.390625
293,-0.557617
294,-0.693359
295,-0.787109
296,-0.833008
297,-0.826172
298,-0.770508
299,-0.665039
300,-0.517578
301,-0.335938
302,-0.134766
303,0.0742188
304,0.289062
305,0.472656
306,0.626953
307,0.744141
308,0.813477
309,0.833008
310,0.799805
311,0.71582
312,0.584961
313,0.417969
314,0.222656
315,0.0166016
316,-0.194336
317,-0.391602
318,-0.558594
319,-0.692383
320,-0.787109
321,-0.833984
322,-0.828125
323,-0.769531
324,-0.664062
325,-0.517578
326,-0.338867
327,-0.137695
328,0.0712891
329,0.288086
330,0.473633
331,0.629883
332,0.745117
333,0.813477
334,0.831055
335,0.798828
336,0.714844
337,0.584961
338,0.416016
339,0.220703
340,0.0146484
341,-0.191406
342,-0.390625
343,-0.557617
344,-0.693359
345,-0.787109
346,-0.833008
347,-0.827148
348,-0.770508
349,-0.665039
350,-0.516602
351,-0.334961
352,-0.132812
353,0.0751953
354,0.289062
355,0.473633
356,0.628906
357,0.745117
358,0.814453
359,0.833008
360,0.797852
361,0.713867
362,0.584961
363,0.416992
364,0.223633
365,0.0185547
366,-0.192383
367,-0.390625
368,-0.55957
369,-0.693359
370,-0.787109
371,-0.833008
372,-0.828125
373,-0.770508
374,-0.665039
375,-0.516602
376,-0.336914
377,-0.136719
378,0.0722656
379,0.289062
380,0.475586
381,0.630859
382,0.745117
383,0.8125
384,0.831055
385,0.799805
386,0.716797
387,0.584961
388,0.416016
389,0.22168
390,0.0166016
391,-0.191406
392,-0.390625
393,-0.558594
394,-0.693359
395,-0.786133
396,-0.831055
397,-0.826172
398,-0.770508
399,-0.665039
400,-0.516602
401,-0.335938
402,-0.134766
403,0.0742188
404,0.288086
405,0.472656
406,0.626953
407,0.744141
408,0.814453
409,0.833008
410,0.798828
411,0.714844
412,0.583008
413,0.417969
414,0.223633
415,0.0175781
416,-0.192383
417,-0.390625
418,-0.558594
419,-0.692383
420,-0.787109
421,-0.833984
422,-0.828125
423,-0.768555
424,-0.663086
425,-0.517578
426,-0.339844
427,-0.137695
428,0.0732422
429,0.290039
430,0.475586
431,0.629883
432,0.744141
