INDEX,ADC_DATA
0,0.34668
1,0.392041
2,0.436287
3,0.479184
4,0.520508
5,0.560048
6,0.597603
7,0.632985
8,0.666016
9,0.696547
10,0.724396
11,0.749418
12,0.771484
13,0.79053
14,0.806374
15,0.818926
16,0.828125
17,0.8338
18,0.836159
19,0.835234
20,0.831055
21,0.823812
22,0.813255
23,0.799383
24,0.782227
25,0.76162
26,0.738045
27,0.711663
28,0.682617
29,0.651249
30,0.61731
31,0.58086
32,0.541992
33,0.500811
34,0.457497
35,0.412234
36,0.365234
37,0.316219
38,0.266296
39,0.215816
40,0.165039
41,0.11515
42,0.0645676
43,0.0131602
44,-0.0390625
45,-0.0930514
46,-0.146721
47,-0.199512
48,-0.250977
49,-0.30026
50,-0.347977
51,-0.394071
52,-0.438477
53,-0.481139
54,-0.52195
55,-0.56082
56,-0.597656
57,-0.632328
58,-0.664787
59,-0.694934
60,-0.722656
61,-0.747996
62,-0.770546
63,-0.790141
64,-0.806641
65,-0.819867
66,-0.829842
67,-0.836514
68,-0.839844
69,-0.839902
70,-0.83651
71,-0.829648
72,-0.819336
73,-0.80544
74,-0.788345
75,-0.768193
76,-0.745117
77,-0.71931
78,-0.690781
79,-0.659633
80,-0.625977
81,-0.589947
82,-0.551643
83,-0.511197
84,-0.46875
85,-0.424358
86,-0.378349
87,-0.330913
88,-0.282227
89,-0.232539
90,-0.18187
91,-0.130351
92,-0.078125
93,-0.0256572
94,0.0274124
95,0.080956
96,0.134766
97,0.189455
98,0.243187
99,0.295412
100,0.345703
101,0.393044
102,0.438431
103,0.481896
104,0.523438
105,0.563179
106,0.600769
107,0.63607
108,0.668945
109,0.69939
110,0.727051
111,0.751774
112,0.773438
113,0.791783
114,0.807022
115,0.819142
116,0.828125
117,0.834127
118,0.836815
119,0.836126
120,0.832031
121,0.824353
122,0.813431
123,0.799359
124,0.782227
125,0.762229
126,0.73925
127,0.71334
128,0.68457
129,0.652997
130,0.618782
131,0.582058
132,0.542969
133,0.501718
134,0.458389
135,0.413156
136,0.366211
137,0.317372
138,0.267532
139,0.217
140,0.166016
141,0.115552
142,0.0644073
143,0.0125246
144,-0.0400391
145,-0.0940299
146,-0.147667
147,-0.200445
148,-0.251953
